province_code,forecast_year,forecast_month,rainfall_mm,n_runs,province,region_en,season,quarter
92,2024,1,14.49915361,1,ตรัง,South,Cool/Dry,Q1
93,2024,1,35.65434122,1,พัทลุง,South,Cool/Dry,Q1
94,2024,1,98.68237426,1,ปัตตานี,South,Cool/Dry,Q1
95,2024,1,83.82084723,1,ยะลา,South,Cool/Dry,Q1
96,2024,1,90.75435316,1,นราธิวาส,South,Cool/Dry,Q1
10,2024,2,0.086165011,2,กรุงเทพมหานคร,Central,Cool/Dry,Q1
11,2024,2,0.128958069,2,สมุทรปราการ,Central,Cool/Dry,Q1
12,2024,2,0.028330206,2,นนทบุรี,Central,Cool/Dry,Q1
13,2024,2,0.287208202,2,ปทุมธานี,Central,Cool/Dry,Q1
14,2024,2,0.351610328,2,พระนครศรีอยุธยา,Central,Cool/Dry,Q1
15,2024,2,0.0,2,อ่างทอง,Central,Cool/Dry,Q1
16,2024,2,1.058869102,2,ลพบุรี,Central,Cool/Dry,Q1
17,2024,2,0.015201729,2,สิงห์บุรี,Central,Cool/Dry,Q1
18,2024,2,0.0,2,ชัยนาท,Central,Cool/Dry,Q1
19,2024,2,5.369710494,2,สระบุรี,Central,Cool/Dry,Q1
20,2024,2,8.049219498,2,ชลบุรี,East,Cool/Dry,Q1
21,2024,2,29.20815472,2,ระยอง,East,Cool/Dry,Q1
22,2024,2,38.6374972,2,จันทบุรี,East,Cool/Dry,Q1
23,2024,2,50.01120186,2,ตราด,East,Cool/Dry,Q1
24,2024,2,3.759074887,2,ฉะเชิงเทรา,East,Cool/Dry,Q1
25,2024,2,1.828430577,2,ปราจีนบุรี,East,Cool/Dry,Q1
26,2024,2,3.550245537,2,นครนายก,East,Cool/Dry,Q1
27,2024,2,6.407461401,2,สระแก้ว,East,Cool/Dry,Q1
30,2024,2,2.983222913,2,นครราชสีมา,Northeast,Cool/Dry,Q1
31,2024,2,0.47297172,2,บุรีรัมย์,Northeast,Cool/Dry,Q1
32,2024,2,0.591665312,2,สุรินทร์,Northeast,Cool/Dry,Q1
33,2024,2,5.924951625,2,ศรีสะเกษ,Northeast,Cool/Dry,Q1
34,2024,2,8.267995848,2,อุบลราชธานี,Northeast,Cool/Dry,Q1
35,2024,2,3.477207753,2,ยโสธร,Northeast,Cool/Dry,Q1
36,2024,2,2.219708329,2,ชัยภูมิ,Northeast,Cool/Dry,Q1
37,2024,2,5.654227704,2,อำนาจเจริญ,Northeast,Cool/Dry,Q1
38,2024,2,0.130055998,2,บึงกาฬ,Northeast,Cool/Dry,Q1
39,2024,2,0.034222477,2,หนองบัวลำภู,Northeast,Cool/Dry,Q1
40,2024,2,0.409574255,2,ขอนแก่น,Northeast,Cool/Dry,Q1
41,2024,2,0.012101449,2,อุดรธานี,Northeast,Cool/Dry,Q1
42,2024,2,0.5981203,2,เลย,Northeast,Cool/Dry,Q1
43,2024,2,0.02029507,2,หนองคาย,Northeast,Cool/Dry,Q1
44,2024,2,0.111921203,2,มหาสารคาม,Northeast,Cool/Dry,Q1
45,2024,2,0.56016329,2,ร้อยเอ็ด,Northeast,Cool/Dry,Q1
46,2024,2,0.103855504,2,กาฬสินธุ์,Northeast,Cool/Dry,Q1
47,2024,2,0.062454321,2,สกลนคร,Northeast,Cool/Dry,Q1
48,2024,2,0.360484006,2,นครพนม,Northeast,Cool/Dry,Q1
49,2024,2,0.407366445,2,มุกดาหาร,Northeast,Cool/Dry,Q1
50,2024,2,0.008749736,2,เชียงใหม่,North,Cool/Dry,Q1
51,2024,2,0.021792058,2,ลำพูน,North,Cool/Dry,Q1
52,2024,2,0.098675521,2,ลำปาง,North,Cool/Dry,Q1
53,2024,2,0.733674045,2,อุตรดิตถ์,North,Cool/Dry,Q1
54,2024,2,0.162875722,2,แพร่,North,Cool/Dry,Q1
55,2024,2,0.482331347,2,น่าน,North,Cool/Dry,Q1
56,2024,2,0.260161715,2,พะเยา,North,Cool/Dry,Q1
57,2024,2,0.054803102,2,เชียงราย,North,Cool/Dry,Q1
58,2024,2,0.000865393,2,แม่ฮ่องสอน,North,Cool/Dry,Q1
60,2024,2,0.459342121,2,นครสวรรค์,Central,Cool/Dry,Q1
61,2024,2,0.336382789,2,อุทัยธานี,Central,Cool/Dry,Q1
62,2024,2,2.198661024,2,กำแพงเพชร,North,Cool/Dry,Q1
63,2024,2,0.239605945,2,ตาก,North,Cool/Dry,Q1
64,2024,2,1.013002118,2,สุโขทัย,North,Cool/Dry,Q1
65,2024,2,6.039267506,2,พิษณุโลก,North,Cool/Dry,Q1
66,2024,2,4.976205479,2,พิจิตร,North,Cool/Dry,Q1
67,2024,2,2.404480613,2,เพชรบูรณ์,North,Cool/Dry,Q1
70,2024,2,0.747837025,2,ราชบุรี,Central,Cool/Dry,Q1
71,2024,2,1.278417723,2,กาญจนบุรี,Central,Cool/Dry,Q1
72,2024,2,0.158696227,2,สุพรรณบุรี,Central,Cool/Dry,Q1
73,2024,2,0.066003354,2,นครปฐม,Central,Cool/Dry,Q1
74,2024,2,0.11692946,2,สมุทรสาคร,Central,Cool/Dry,Q1
75,2024,2,0.401391304,2,สมุทรสงคราม,Central,Cool/Dry,Q1
76,2024,2,1.3788478,2,เพชรบุรี,South,Cool/Dry,Q1
77,2024,2,6.97615905,2,ประจวบคีรีขันธ์,South,Cool/Dry,Q1
80,2024,2,21.69928888,2,นครศรีธรรมราช,South,Cool/Dry,Q1
81,2024,2,14.70768202,2,กระบี่,South,Cool/Dry,Q1
82,2024,2,6.954026249,2,พังงา,South,Cool/Dry,Q1
83,2024,2,12.07303169,2,ภูเก็ต,South,Cool/Dry,Q1
84,2024,2,6.518151731,2,สุราษฎร์ธานี,South,Cool/Dry,Q1
85,2024,2,5.668408742,2,ระนอง,South,Cool/Dry,Q1
86,2024,2,10.37259552,2,ชุมพร,South,Cool/Dry,Q1
90,2024,2,9.403870204,2,สงขลา,South,Cool/Dry,Q1
91,2024,2,12.60124307,2,สตูล,South,Cool/Dry,Q1
92,2024,2,22.91582812,2,ตรัง,South,Cool/Dry,Q1
93,2024,2,15.60787361,2,พัทลุง,South,Cool/Dry,Q1
94,2024,2,7.997339965,2,ปัตตานี,South,Cool/Dry,Q1
95,2024,2,11.03983273,2,ยะลา,South,Cool/Dry,Q1
96,2024,2,17.45739631,2,นราธิวาส,South,Cool/Dry,Q1
10,2024,3,57.92451487,3,กรุงเทพมหานคร,Central,Hot,Q1
11,2024,3,61.46569256,3,สมุทรปราการ,Central,Hot,Q1
12,2024,3,47.29390246,3,นนทบุรี,Central,Hot,Q1
13,2024,3,44.27676657999999,3,ปทุมธานี,Central,Hot,Q1
14,2024,3,44.83018311,3,พระนครศรีอยุธยา,Central,Hot,Q1
15,2024,3,42.54556111,3,อ่างทอง,Central,Hot,Q1
16,2024,3,43.80434552,3,ลพบุรี,Central,Hot,Q1
17,2024,3,41.03507204,3,สิงห์บุรี,Central,Hot,Q1
18,2024,3,39.60935393,3,ชัยนาท,Central,Hot,Q1
19,2024,3,55.44171662,3,สระบุรี,Central,Hot,Q1
20,2024,3,48.86631326,3,ชลบุรี,East,Hot,Q1
21,2024,3,51.85945268,3,ระยอง,East,Hot,Q1
22,2024,3,42.27520435,3,จันทบุรี,East,Hot,Q1
23,2024,3,58.715251810000005,3,ตราด,East,Hot,Q1
24,2024,3,43.36174818999999,3,ฉะเชิงเทรา,East,Hot,Q1
25,2024,3,41.72649442,3,ปราจีนบุรี,East,Hot,Q1
26,2024,3,41.80292971,3,นครนายก,East,Hot,Q1
27,2024,3,24.62662455,3,สระแก้ว,East,Hot,Q1
30,2024,3,35.24551299,3,นครราชสีมา,Northeast,Hot,Q1
31,2024,3,19.50090898,3,บุรีรัมย์,Northeast,Hot,Q1
32,2024,3,4.522728133,3,สุรินทร์,Northeast,Hot,Q1
33,2024,3,4.670800861,3,ศรีสะเกษ,Northeast,Hot,Q1
34,2024,3,6.926544995,3,อุบลราชธานี,Northeast,Hot,Q1
35,2024,3,2.8072424790000006,3,ยโสธร,Northeast,Hot,Q1
36,2024,3,25.55117789,3,ชัยภูมิ,Northeast,Hot,Q1
37,2024,3,4.041472083,3,อำนาจเจริญ,Northeast,Hot,Q1
38,2024,3,5.593639848,3,บึงกาฬ,Northeast,Hot,Q1
39,2024,3,25.69397816,3,หนองบัวลำภู,Northeast,Hot,Q1
40,2024,3,7.848609384,3,ขอนแก่น,Northeast,Hot,Q1
41,2024,3,9.658300302,3,อุดรธานี,Northeast,Hot,Q1
42,2024,3,52.18993824999999,3,เลย,Northeast,Hot,Q1
43,2024,3,13.25534367,3,หนองคาย,Northeast,Hot,Q1
44,2024,3,1.647076892,3,มหาสารคาม,Northeast,Hot,Q1
45,2024,3,2.021909584,3,ร้อยเอ็ด,Northeast,Hot,Q1
46,2024,3,1.614951206,3,กาฬสินธุ์,Northeast,Hot,Q1
47,2024,3,1.956840741,3,สกลนคร,Northeast,Hot,Q1
48,2024,3,4.129848485,3,นครพนม,Northeast,Hot,Q1
49,2024,3,1.465223793,3,มุกดาหาร,Northeast,Hot,Q1
50,2024,3,70.12771022,3,เชียงใหม่,North,Hot,Q1
51,2024,3,80.44847175,3,ลำพูน,North,Hot,Q1
52,2024,3,85.03451218,3,ลำปาง,North,Hot,Q1
53,2024,3,112.0059144,3,อุตรดิตถ์,North,Hot,Q1
54,2024,3,104.3655907,3,แพร่,North,Hot,Q1
55,2024,3,120.6892389,3,น่าน,North,Hot,Q1
56,2024,3,113.7215382,3,พะเยา,North,Hot,Q1
57,2024,3,105.4306818,3,เชียงราย,North,Hot,Q1
58,2024,3,38.93553962,3,แม่ฮ่องสอน,North,Hot,Q1
60,2024,3,71.1536874,3,นครสวรรค์,Central,Hot,Q1
61,2024,3,61.29958043,3,อุทัยธานี,Central,Hot,Q1
62,2024,3,84.89014011,3,กำแพงเพชร,North,Hot,Q1
63,2024,3,69.20604923,3,ตาก,North,Hot,Q1
64,2024,3,119.3480568,3,สุโขทัย,North,Hot,Q1
65,2024,3,90.88628294,3,พิษณุโลก,North,Hot,Q1
66,2024,3,82.30341365,3,พิจิตร,North,Hot,Q1
67,2024,3,53.84682813,3,เพชรบูรณ์,North,Hot,Q1
70,2024,3,44.63157665,3,ราชบุรี,Central,Hot,Q1
71,2024,3,58.420071869999994,3,กาญจนบุรี,Central,Hot,Q1
72,2024,3,37.88960953,3,สุพรรณบุรี,Central,Hot,Q1
73,2024,3,39.80168805,3,นครปฐม,Central,Hot,Q1
74,2024,3,56.88443984,3,สมุทรสาคร,Central,Hot,Q1
75,2024,3,51.53985498,3,สมุทรสงคราม,Central,Hot,Q1
76,2024,3,35.27102181,3,เพชรบุรี,South,Hot,Q1
77,2024,3,49.87190361999999,3,ประจวบคีรีขันธ์,South,Hot,Q1
80,2024,3,102.402757,3,นครศรีธรรมราช,South,Hot,Q1
81,2024,3,87.69559932,3,กระบี่,South,Hot,Q1
82,2024,3,91.56108255,3,พังงา,South,Hot,Q1
83,2024,3,110.1861311,3,ภูเก็ต,South,Hot,Q1
84,2024,3,68.92805129,3,สุราษฎร์ธานี,South,Hot,Q1
85,2024,3,48.18578434,3,ระนอง,South,Hot,Q1
86,2024,3,76.86553462,3,ชุมพร,South,Hot,Q1
90,2024,3,98.68814776,3,สงขลา,South,Hot,Q1
91,2024,3,83.02455785,3,สตูล,South,Hot,Q1
92,2024,3,59.58094048,3,ตรัง,South,Hot,Q1
93,2024,3,80.12077727,3,พัทลุง,South,Hot,Q1
94,2024,3,140.2810937,3,ปัตตานี,South,Hot,Q1
95,2024,3,145.2268576,3,ยะลา,South,Hot,Q1
96,2024,3,200.5884661,3,นราธิวาส,South,Hot,Q1
10,2024,4,4.596019859,4,กรุงเทพมหานคร,Central,Hot,Q2
11,2024,4,2.968538753,4,สมุทรปราการ,Central,Hot,Q2
12,2024,4,3.619812384,4,นนทบุรี,Central,Hot,Q2
13,2024,4,12.06373818,4,ปทุมธานี,Central,Hot,Q2
14,2024,4,8.992234736,4,พระนครศรีอยุธยา,Central,Hot,Q2
15,2024,4,11.01806733,4,อ่างทอง,Central,Hot,Q2
16,2024,4,44.22037815,4,ลพบุรี,Central,Hot,Q2
17,2024,4,13.79230549,4,สิงห์บุรี,Central,Hot,Q2
18,2024,4,21.79978146,4,ชัยนาท,Central,Hot,Q2
19,2024,4,47.66026908,4,สระบุรี,Central,Hot,Q2
20,2024,4,20.51245339,4,ชลบุรี,East,Hot,Q2
21,2024,4,28.31277614,4,ระยอง,East,Hot,Q2
22,2024,4,58.42486317,4,จันทบุรี,East,Hot,Q2
23,2024,4,71.84145995,4,ตราด,East,Hot,Q2
24,2024,4,53.32102018,4,ฉะเชิงเทรา,East,Hot,Q2
25,2024,4,80.06930705,4,ปราจีนบุรี,East,Hot,Q2
26,2024,4,94.0483872,4,นครนายก,East,Hot,Q2
27,2024,4,47.64874385,4,สระแก้ว,East,Hot,Q2
30,2024,4,73.5140522,4,นครราชสีมา,Northeast,Hot,Q2
31,2024,4,40.72145319,4,บุรีรัมย์,Northeast,Hot,Q2
32,2024,4,47.35128081,4,สุรินทร์,Northeast,Hot,Q2
33,2024,4,46.32842652,4,ศรีสะเกษ,Northeast,Hot,Q2
34,2024,4,49.31946821,4,อุบลราชธานี,Northeast,Hot,Q2
35,2024,4,61.38239294,4,ยโสธร,Northeast,Hot,Q2
36,2024,4,61.41202299,4,ชัยภูมิ,Northeast,Hot,Q2
37,2024,4,64.94506166,4,อำนาจเจริญ,Northeast,Hot,Q2
38,2024,4,62.3737253,4,บึงกาฬ,Northeast,Hot,Q2
39,2024,4,45.39227654,4,หนองบัวลำภู,Northeast,Hot,Q2
40,2024,4,32.1481247,4,ขอนแก่น,Northeast,Hot,Q2
41,2024,4,49.53280905,4,อุดรธานี,Northeast,Hot,Q2
42,2024,4,49.0315475,4,เลย,Northeast,Hot,Q2
43,2024,4,35.88322419,4,หนองคาย,Northeast,Hot,Q2
44,2024,4,28.96696461,4,มหาสารคาม,Northeast,Hot,Q2
45,2024,4,45.20259149,4,ร้อยเอ็ด,Northeast,Hot,Q2
46,2024,4,47.91843006,4,กาฬสินธุ์,Northeast,Hot,Q2
47,2024,4,72.94611481,4,สกลนคร,Northeast,Hot,Q2
48,2024,4,78.75341958,4,นครพนม,Northeast,Hot,Q2
49,2024,4,92.87929826,4,มุกดาหาร,Northeast,Hot,Q2
50,2024,4,9.062957852,4,เชียงใหม่,North,Hot,Q2
51,2024,4,8.951415885,4,ลำพูน,North,Hot,Q2
52,2024,4,13.66281359,4,ลำปาง,North,Hot,Q2
53,2024,4,9.91969544,4,อุตรดิตถ์,North,Hot,Q2
54,2024,4,8.156746751,4,แพร่,North,Hot,Q2
55,2024,4,16.93745338,4,น่าน,North,Hot,Q2
56,2024,4,17.60681459,4,พะเยา,North,Hot,Q2
57,2024,4,21.58767651,4,เชียงราย,North,Hot,Q2
