year,province,events,districts_affected,subdistricts_affected,villages_affected,affected_people,affected_households,evacuated_people,evacuated_households,deaths,missing,injured,housing_units,business_sites,agriculture_rai,livestock_head,fisheries_units,transport_sites,infrastructure_sites,total_damage_thb,province_code,region_en
2019,ร้อยเอ็ด,,10.0,103.0,1148.0,0.0,47822.0,0.0,0.0,0.0,0.0,0.0,730.0,0.0,297179.0,356.0,126.0,398.0,19.0,0.0,45,Northeast
2019,ลำปาง,,12.0,41.0,128.0,9527.0,4301.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,430.0,170.0,58.0,51.0,36.0,175000.0,52,North
2019,ลำพูน,,4.0,10.0,102.0,0.0,4017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2994.0,0.0,0.0,52.0,17.0,0.0,51,North
2019,ศรีสะเกษ,,14.0,70.0,403.0,57563.0,11757.0,0.0,0.0,0.0,0.0,0.0,1086.0,0.0,87206.0,0.0,42.0,2243.0,11.0,0.0,33,Northeast
2019,สกลนคร,,13.0,78.0,620.0,23244.0,14549.0,0.0,0.0,1.0,0.0,0.0,900.0,0.0,114747.0,180.0,53.0,76.0,22.0,0.0,47,Northeast
2019,สตูล,,2.0,2.0,4.0,342.0,68.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,South
2019,สมุทรสาคร,,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,Central
2019,สระบุรี,,3.0,7.0,17.0,4371.0,1412.0,0.0,0.0,0.0,0.0,0.0,501.0,0.0,1018.0,0.0,0.0,2.0,2.0,0.0,19,Central
2019,สระแก้ว,,6.0,38.0,244.0,39050.0,14884.0,0.0,0.0,0.0,0.0,0.0,1343.0,0.0,15.0,0.0,28.0,56.0,3.0,0.0,27,East
2019,สุพรรณบุรี,,1.0,1.0,1.0,50.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,200000.0,72,Central
2019,สุราษฎร์ธานี,,18.0,88.0,549.0,79240.0,27489.0,167.0,0.0,0.0,0.0,0.0,370.0,0.0,3008.0,0.0,1.0,211.0,1.0,7280000.0,84,South
2019,สุรินทร์,,12.0,47.0,281.0,2805.0,2370.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,49015.0,4.0,5.0,70.0,21.0,624000.0,32,Northeast
2019,สุโขทัย,,7.0,36.0,161.0,28072.0,8797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,North
2019,หนองคาย,,6.0,21.0,123.0,6961.0,3980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7890.0,0.0,0.0,37.0,1.0,0.0,43,Northeast
2019,หนองบัวลำภู,,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,Northeast
2019,อำนาจเจริญ,,7.0,56.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Northeast
2019,อุดรธานี,,12.0,57.0,327.0,48529.0,4006.0,0.0,0.0,1.0,0.0,0.0,83.0,0.0,31639.0,390.0,1956.0,102.0,11.0,44410964.0,41,Northeast
2019,อุตรดิตถ์,,4.0,14.0,82.0,1836.0,841.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,1815.0,1.0,25.0,3.0,11.0,323246.0,53,North
2019,อุทัยธานี,,3.0,10.0,55.0,1885.0,727.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7337.0,0.0,2.0,10.0,5.0,2971000.0,61,Central
2019,อุบลราชธานี,,1.0,2.0,6.0,105.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,34,Northeast
2019,เชียงราย,,6.0,14.0,56.0,6556.0,2301.0,10.0,2.0,0.0,0.0,0.0,30.0,0.0,13665.0,0.0,79.0,5.0,4.0,471000.0,57,North
2019,เชียงใหม่,,23.0,83.0,572.0,234664.0,74786.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,5312.0,51.0,34.0,542.0,81.0,0.0,50,North
2019,เพชรบุรี,,1.0,2.0,4.0,1209.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,34528.0,76,South
2019,เพชรบูรณ์,,8.0,57.0,339.0,22855.0,14523.0,0.0,0.0,0.0,0.0,0.0,14513.0,0.0,77041.0,0.0,0.0,32.0,0.0,0.0,67,North
2019,เลย,,1.0,1.0,1.0,76.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,3.0,0.0,0.0,42,Northeast
2019,แพร่,,8.0,47.0,266.0,6453.0,2154.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,7850.0,70.0,44.0,59.0,33.0,0.0,54,North
2019,แม่ฮ่องสอน,,7.0,43.0,380.0,301356.0,108628.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7113.0,251.0,17.0,819.0,626.0,3237294.0,58,North
2020,กระบี่,8.0,7.0,37.0,178.0,5655.0,1830.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,140.0,0.0,5.0,195.0,0.0,,81,South
2020,กรุงเทพมหานคร,7.0,7.0,15.0,0.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,0.0,0.0,0.0,0.0,,10,Central
2020,กาญจนบุรี,63.0,11.0,100.0,523.0,49711.0,22173.0,20.0,4.0,1.0,0.0,0.0,911.0,0.0,45986.0,250.0,10.0,251.0,5.0,,71,Central
2020,กาฬสินธุ์,7.0,4.0,12.0,38.0,7064.0,1910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3502.0,0.0,5.0,34.0,2.0,,46,Northeast
2020,กำแพงเพชร,18.0,5.0,33.0,100.0,8358.0,3305.0,0.0,0.0,0.0,0.0,0.0,541.0,0.0,18011.0,115.0,71.0,154.0,6.0,,62,North
2020,ขอนแก่น,11.0,10.0,32.0,183.0,27750.0,12306.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,17329.0,0.0,625.0,33.0,1.0,,40,Northeast
2020,จันทบุรี,18.0,9.0,33.0,172.0,7034.0,2222.0,232.0,94.0,1.0,0.0,3.0,1436.0,0.0,1211.0,0.0,3.0,46.0,33.0,,22,East
2020,ฉะเชิงเทรา,26.0,7.0,32.0,137.0,2667.0,2036.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,5045.0,0.0,81.0,0.0,0.0,,24,East
2020,ชลบุรี,39.0,6.0,40.0,176.0,4954.0,1984.0,0.0,0.0,0.0,0.0,0.0,1036.0,0.0,2734.0,40.0,53.0,21.0,14.0,,20,East
2020,ชัยนาท,14.0,6.0,20.0,134.0,24579.0,8293.0,0.0,0.0,0.0,0.0,0.0,2077.0,0.0,59753.0,0.0,0.0,138.0,4.0,,18,Central
2020,ชัยภูมิ,21.0,11.0,107.0,957.0,56540.0,30441.0,0.0,0.0,0.0,0.0,0.0,375.0,0.0,310293.0,0.0,150.0,372.0,87.0,,36,Northeast
2020,ชุมพร,31.0,8.0,106.0,594.0,22229.0,7291.0,2.0,2.0,0.0,0.0,0.0,232.0,0.0,560.0,32.0,106.0,806.0,106.0,,86,South
2020,ตรัง,63.0,10.0,112.0,392.0,27694.0,8549.0,11.0,4.0,2.0,0.0,0.0,896.0,0.0,4978.0,0.0,60.0,69.0,7.0,,92,South
2020,ตราด,9.0,5.0,11.0,37.0,70.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,23,East
2020,ตาก,11.0,7.0,43.0,257.0,57618.0,15725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3098.0,0.0,0.0,332.0,2.0,,63,North
2020,นครปฐม,57.0,7.0,106.0,657.0,148118.0,64294.0,0.0,0.0,0.0,0.0,0.0,41478.0,16.0,25683.0,0.0,288.0,369.0,81.0,,73,Central
2020,นครพนม,1.0,1.0,1.0,3.0,132.0,33.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,31.0,0.0,0.0,,48,Northeast
2020,นครราชสีมา,147.0,29.0,367.0,2588.0,399267.0,190059.0,0.0,0.0,1.0,0.0,0.0,14345.0,2.0,702618.0,514.0,1544.0,853.0,327.0,,30,Northeast
2020,นครศรีธรรมราช,45.0,23.0,193.0,1714.0,850670.0,310158.0,0.0,0.0,3.0,1.0,0.0,28.0,0.0,107239.0,65918.0,28550.0,831.0,97.0,,80,South
2020,นครสวรรค์,11.0,8.0,13.0,94.0,4091.0,1782.0,0.0,0.0,1.0,0.0,0.0,152.0,0.0,22223.0,30.0,3.0,101.0,9.0,,60,Central
2020,นราธิวาส,38.0,13.0,135.0,620.0,143902.0,54240.0,266.0,77.0,0.0,0.0,0.0,4.0,0.0,4166.0,380.0,29.0,68.0,12.0,,96,South
2020,น่าน,99.0,15.0,217.0,975.0,73470.0,25369.0,0.0,0.0,2.0,0.0,0.0,3024.0,0.0,40659.0,2677.0,265.0,404.0,255.0,,55,North
2020,บุรีรัมย์,26.0,19.0,80.0,286.0,70211.0,7051.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,35397.0,0.0,28.0,0.0,0.0,,31,Northeast
2020,ปทุมธานี,2.0,2.0,2.0,17.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,13,Central
2020,ประจวบคีรีขันธ์,19.0,6.0,23.0,138.0,7545.0,3179.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5932.0,0.0,441.0,23.0,13.0,,77,South
2020,ปราจีนบุรี,14.0,6.0,31.0,163.0,71.0,5295.0,0.0,0.0,4.0,0.0,0.0,481.0,1.0,6000.0,131.0,41.0,7.0,0.0,,25,East
2020,ปัตตานี,25.0,11.0,92.0,280.0,18316.0,5524.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,1189.0,9.0,154.0,9.0,0.0,,94,South
2020,พะเยา,23.0,5.0,55.0,190.0,3902.0,1639.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,629.0,0.0,0.0,37.0,6.0,,56,North
2020,พังงา,8.0,5.0,13.0,41.0,955.0,303.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,2.0,2.0,,82,South
2020,พัทลุง,20.0,11.0,82.0,788.0,262302.0,95903.0,542.0,166.0,4.0,0.0,1.0,425.0,5.0,324687.0,1442737.0,2271.0,1004.0,84.0,,93,South
2020,พิจิตร,2.0,1.0,3.0,5.0,250.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,,66,North
2020,พิษณุโลก,9.0,5.0,30.0,123.0,661.0,1869.0,0.0,0.0,1.0,0.0,1.0,111.0,0.0,5725.0,0.0,85.0,28.0,3.0,,65,North
2020,ภูเก็ต,3.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,83,South
2020,มุกดาหาร,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,49,Northeast
2020,ยะลา,37.0,7.0,81.0,280.0,28599.0,8075.0,60.0,15.0,2.0,0.0,0.0,56.0,0.0,1270.0,0.0,0.0,32.0,18.0,,95,South
2020,ระนอง,4.0,4.0,14.0,33.0,331.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,120.0,3.0,2.0,,85,South
2020,ระยอง,7.0,4.0,20.0,123.0,53360.0,24382.0,0.0,0.0,0.0,0.0,0.0,314.0,0.0,950.0,0.0,0.0,9.0,7.0,,21,East
