GEOCODE,TAMBON_E,AMPHOE_E,PROV_E,REGION_E,MAX_SEVERITY_LABEL,N_FLASHFLOOD,N_FLOOD,N_ATRISK_RECORDS,N_TOTAL_RECORDS,FRAC_ATRISK,N_ISSUES_FLAGGED,ISSUES_FLAGGED,TARGET_MONTHS
640301,Tanot,Khiri Mat District,Sukhothai,North,flood / inundation,0,78,78,180,0.433,30,"202401, 202402, 202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202511, 202512, 202601, 202602, 202603, 202604, 202605, 202606","2024-05, 2024-08, 2024-09, 2024-10, 2024-11, 2025-05, 2025-06, 2025-08, 2025-09, 2025-10, 2025-11, 2026-05, 2026-08, 2026-09, 2026-10, 2026-11"
640106,Ban Kluai,Mueang Sukhothai District,Sukhothai,North,flood / inundation,0,76,76,180,0.422,27,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202511, 202601, 202602, 202603, 202604, 202605, 202606","2024-07, 2024-08, 2024-09, 2024-10, 2024-11, 2025-05, 2025-06, 2025-08, 2025-09, 2025-10, 2025-11, 2026-06, 2026-08, 2026-09, 2026-10, 2026-11"
640303,Ban Pom,Khiri Mat District,Sukhothai,North,flood / inundation,0,76,76,180,0.422,27,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202511, 202601, 202602, 202603, 202604, 202605, 202606","2024-07, 2024-08, 2024-09, 2024-10, 2024-11, 2025-05, 2025-06, 2025-08, 2025-09, 2025-10, 2025-11, 2026-06, 2026-08, 2026-09, 2026-10, 2026-11"
640109,Pak Phra,Mueang Sukhothai District,Sukhothai,North,flood / inundation,0,75,75,180,0.417,27,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202511, 202601, 202602, 202603, 202604, 202605, 202606","2024-07, 2024-08, 2024-09, 2024-10, 2024-11, 2025-05, 2025-06, 2025-08, 2025-09, 2025-10, 2025-11, 2026-06, 2026-08, 2026-09, 2026-10, 2026-11"
640105,Yang Sai,Mueang Sukhothai District,Sukhothai,North,flood / inundation,0,74,74,180,0.411,27,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202511, 202601, 202602, 202603, 202604, 202605, 202606","2024-07, 2024-08, 2024-09, 2024-10, 2024-11, 2025-05, 2025-06, 2025-08, 2025-09, 2025-10, 2025-11, 2026-06, 2026-08, 2026-09, 2026-10, 2026-11"
640107,Ban Lum,Mueang Sukhothai District,Sukhothai,North,flood / inundation,0,73,73,180,0.406,26,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202511, 202602, 202603, 202604, 202605, 202606","2024-07, 2024-08, 2024-09, 2024-10, 2024-11, 2025-05, 2025-06, 2025-08, 2025-09, 2025-10, 2025-11, 2026-06, 2026-08, 2026-09, 2026-10, 2026-11"
640302,Thung Luang,Khiri Mat District,Sukhothai,North,flood / inundation,0,73,73,180,0.406,27,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202511, 202601, 202602, 202603, 202604, 202605, 202606","2024-08, 2024-09, 2024-10, 2024-11, 2025-05, 2025-06, 2025-08, 2025-09, 2025-10, 2025-11, 2026-06, 2026-08, 2026-09, 2026-10, 2026-11"
640102,Ban Suan,Mueang Sukhothai District,Sukhothai,North,flood / inundation,0,72,72,180,0.4,26,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202511, 202602, 202603, 202604, 202605, 202606","2024-07, 2024-08, 2024-09, 2024-10, 2024-11, 2025-05, 2025-06, 2025-08, 2025-09, 2025-10, 2025-11, 2026-06, 2026-08, 2026-09, 2026-10, 2026-11"
640407,Pa Faek,Kong Krailat District,Sukhothai,North,flood / inundation,0,72,72,180,0.4,26,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202511, 202602, 202603, 202604, 202605, 202606","2024-07, 2024-08, 2024-09, 2024-10, 2024-11, 2025-05, 2025-06, 2025-08, 2025-09, 2025-10, 2025-11, 2026-06, 2026-08, 2026-09, 2026-10, 2026-11"
640409,Tha Chanuan,Kong Krailat District,Sukhothai,North,flood / inundation,0,72,72,180,0.4,27,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202511, 202601, 202602, 202603, 202604, 202605, 202606","2024-08, 2024-09, 2024-10, 2024-11, 2025-05, 2025-06, 2025-08, 2025-09, 2025-10, 2025-11, 2026-06, 2026-08, 2026-09, 2026-10, 2026-11"
