GEOCODE,TAMBON_E,AMPHOE_E,PROV_E,REGION_E,MAX_SEVERITY_LABEL,N_FLASHFLOOD,N_FLOOD,N_ATRISK_RECORDS,N_TOTAL_RECORDS,FRAC_ATRISK,N_ISSUES_FLAGGED,ISSUES_FLAGGED,TARGET_MONTHS
520802,Mae Wa,Thoeng District,Lampang,North,flashflood,26,0,26,180,0.144,18,"202404, 202405, 202406, 202407, 202408, 202409, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202512","2024-09, 2024-10, 2025-05, 2025-09, 2025-10, 2026-05"
521101,Sop Prap,Sop Prap District,Lampang,North,flashflood,26,0,26,180,0.144,16,"202404, 202405, 202406, 202407, 202408, 202409, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202604, 202605, 202606","2024-09, 2024-10, 2025-09, 2025-10, 2026-09"
521301,Mueang Pan,Mueang Pan District,Lampang,North,flashflood,26,0,26,180,0.144,17,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202508, 202604, 202606","2024-08, 2024-09, 2025-05, 2025-06, 2025-08, 2026-05, 2026-06"
530305,Nam Man,Tha Pla District,Auttaradit,North,flashflood,26,0,26,180,0.144,16,"202401, 202402, 202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202501, 202502, 202503, 202504, 202509, 202510","2024-06, 2024-08, 2024-09, 2024-10, 2025-06, 2025-09, 2025-10"
530902,Bo Thong,Thong Saen Khan District,Auttaradit,North,flashflood,26,0,26,180,0.144,15,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202503, 202504, 202505, 202507, 202508, 202509, 202510","2024-08, 2024-09, 2024-10, 2025-08, 2025-09, 2025-10"
551103,Phong,Santi Suk District,Nan,North,flashflood,26,0,26,180,0.144,19,"202402, 202403, 202404, 202405, 202406, 202407, 202408, 202409, 202501, 202503, 202504, 202505, 202506, 202507, 202508, 202603, 202604, 202605, 202606","2024-07, 2024-08, 2024-09, 2025-06, 2025-08, 2026-07, 2026-08"
570308,Si Don Chai,Chiang Khong District,Chiangrai,North,flashflood,26,0,26,180,0.144,17,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202503, 202504, 202505, 202506, 202507, 202508, 202603, 202604, 202605, 202606","2024-07, 2024-08, 2024-09, 2025-08, 2026-07, 2026-08"
570605,Rong Chang,Pa Daet District,Chiangrai,North,flashflood,26,0,26,180,0.144,17,"202402, 202403, 202404, 202405, 202406, 202407, 202408, 202409, 202501, 202502, 202504, 202506, 202508, 202601, 202602, 202603, 202604","2024-07, 2024-08, 2024-09, 2025-05, 2025-06, 2025-08, 2026-05"
571303,Lai Ngao,Wiang Kaen District,Chiangrai,North,flashflood,26,0,26,180,0.144,19,"202402, 202403, 202404, 202405, 202406, 202407, 202408, 202501, 202503, 202504, 202505, 202506, 202508, 202601, 202602, 202603, 202604, 202605, 202606","2024-07, 2024-08, 2025-05, 2025-08, 2026-05, 2026-07, 2026-08"
630203,Mae Salit,Ban Tak District,Tak,North,flashflood,26,0,26,180,0.144,20,"202404, 202405, 202406, 202407, 202408, 202410, 202412, 202501, 202502, 202503, 202504, 202505, 202507, 202508, 202509, 202510, 202512, 202604, 202605, 202606","2024-09, 2024-10, 2025-05, 2025-09, 2025-10, 2026-05, 2026-09"
800502,Kathun,Phipun District,Nakhon Si Thammarat,southeast,flashflood,26,0,26,180,0.144,16,"202401, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202506, 202507, 202508, 202509, 202510, 202511, 202606","2024-01, 2024-11, 2024-12, 2025-01, 2025-11, 2026-11"
800505,Khuan Klang,Phipun District,Nakhon Si Thammarat,southeast,flashflood,26,0,26,180,0.144,16,"202401, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202506, 202507, 202508, 202509, 202510, 202511, 202606","2024-01, 2024-11, 2024-12, 2025-01, 2025-11, 2026-11"
800906,Na Luang Sen,Thung Song District,Nakhon Si Thammarat,southeast,flashflood,26,0,26,180,0.144,16,"202401, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202506, 202507, 202508, 202509, 202510, 202511, 202606","2024-01, 2024-11, 2024-12, 2025-01, 2025-11, 2026-11"
800911,Tham Yai,Thung Song District,Nakhon Si Thammarat,southeast,flashflood,26,0,26,180,0.144,16,"202401, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202506, 202507, 202508, 202509, 202510, 202511, 202606","2024-01, 2024-11, 2024-12, 2025-01, 2025-11, 2026-11"
802201,Chang Klang,Chang Klang District,Nakhon Si Thammarat,southeast,flashflood,26,0,26,180,0.144,14,"202401, 202405, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202502, 202503, 202504, 202506","2024-01, 2024-07, 2024-10, 2024-11, 2025-01, 2025-07, 2025-11"
860804,Chong Mai Kaeo,Thung Tako District,Chumphon,southeast,flashflood,26,0,26,180,0.144,19,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202501, 202507, 202508, 202509, 202510, 202511, 202512, 202605, 202606","2024-08, 2024-11, 2024-12, 2025-01, 2025-12, 2026-08"
920305,Phrong Chorakhe,Yan Ta Khao District,Trang,southwest,flashflood,26,0,26,180,0.144,15,"202403, 202404, 202405, 202406, 202407, 202409, 202410, 202411, 202412, 202505, 202506, 202507, 202508, 202509, 202512","2024-08, 2024-09, 2024-10, 2024-11, 2024-12, 2025-10, 2025-12"
420110,Nam Suai,Mueang Loei District,Loei,Northeast,flashflood,25,0,25,180,0.139,16,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510","2024-08, 2024-09, 2024-10, 2025-08, 2025-09, 2025-10"
500405,Mueang Khong,Chiang Dao District,Chiang Mai,North,flashflood,25,0,25,180,0.139,12,"202402, 202403, 202404, 202405, 202406, 202407, 202408, 202409, 202508, 202510, 202603, 202604","2024-07, 2024-08, 2024-09, 2024-10, 2025-08, 2025-10, 2026-08"
501109,Mae Waen,Phrao District,Chiang Mai,North,flashflood,25,0,25,180,0.139,19,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202603, 202604, 202605, 202606","2024-08, 2024-09, 2024-10, 2025-06, 2025-08, 2026-08"
501801,Omkoi,Omkoi District,Chiang Mai,North,flashflood,25,0,25,180,0.139,15,"202403, 202404, 202405, 202406, 202407, 202408, 202501, 202502, 202503, 202504, 202505, 202506, 202510, 202512, 202606","2024-08, 2024-09, 2024-10, 2025-05, 2025-06, 2025-10, 2026-05, 2026-06, 2026-07"
502102,Si Dong Yen,Chai Prakan District,Chiang Mai,North,flashflood,25,0,25,180,0.139,15,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202501, 202502, 202504, 202508, 202510, 202603, 202604, 202605","2024-07, 2024-08, 2024-09, 2024-10, 2025-05, 2025-08, 2025-10, 2026-05, 2026-08, 2026-10"
502104,Nong Bua,Chai Prakan District,Chiang Mai,North,flashflood,25,0,25,180,0.139,18,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202501, 202502, 202503, 202504, 202505, 202506, 202508, 202510, 202603, 202604, 202605","2024-08, 2024-09, 2025-05, 2025-08, 2025-10, 2026-05, 2026-08, 2026-10"
502204,Mae Win,Mae Wang District,Chiang Mai,North,flashflood,25,0,25,180,0.139,13,"202402, 202403, 202404, 202405, 202406, 202407, 202408, 202409, 202501, 202502, 202503, 202504, 202505","2024-07, 2024-08, 2024-09, 2024-10, 2025-05"
510403,Na Sai,Li District,Lamphun,North,flashflood,25,0,25,180,0.139,18,"202404, 202405, 202406, 202407, 202408, 202409, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202512","2024-09, 2024-10, 2025-05, 2025-09, 2025-10, 2026-05"
510503,Takhian Pom,Thung Hua Chang District,Lamphun,North,flashflood,25,0,25,180,0.139,16,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202412, 202501, 202502, 202503, 202504, 202505, 202507, 202508, 202510","2024-08, 2024-09, 2024-10, 2025-05, 2025-10"
520109,Ban Laeng,Mueang Lampang District,Lampang,North,flashflood,25,0,25,180,0.139,14,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202505, 202506, 202507, 202508, 202509, 202510","2024-08, 2024-09, 2024-10, 2025-06, 2025-08, 2025-10"
520401,Thung Ngam,Soem Ngam District,Lampang,North,flashflood,25,0,25,180,0.139,15,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202505, 202506, 202507, 202508, 202509, 202510, 202604, 202606","2024-08, 2024-09, 2024-10, 2025-06, 2025-10, 2026-05, 2026-06"
520403,Soem Sai,Soem Ngam District,Lampang,North,flashflood,25,0,25,180,0.139,14,"202403, 202404, 202405, 202406, 202407, 202408, 202506, 202507, 202508, 202509, 202510, 202604, 202605, 202606","2024-08, 2024-09, 2024-10, 2025-06, 2025-09, 2025-10, 2026-06, 2026-09"
520601,Chae Hom,Chae Hom District,Lampang,North,flashflood,25,0,25,180,0.139,17,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202412, 202501, 202502, 202503, 202504, 202505, 202507, 202508, 202509, 202604","2024-08, 2024-09, 2024-10, 2025-05, 2025-08, 2025-10, 2026-05"
520607,Wichet Nakhon,Chae Hom District,Lampang,North,flashflood,25,0,25,180,0.139,17,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202412, 202501, 202502, 202503, 202504, 202505, 202507, 202508, 202509, 202604","2024-08, 2024-09, 2024-10, 2025-05, 2025-08, 2025-10, 2026-05"
521206,Mae San,Hang Chat District,Lampang,North,flashflood,25,0,25,180,0.139,18,"202404, 202405, 202406, 202407, 202408, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202605, 202606","2024-08, 2024-09, 2024-10, 2025-05, 2025-10, 2026-10"
521207,Wo Kaeo,Hang Chat District,Lampang,North,flashflood,25,0,25,180,0.139,17,"202403, 202404, 202405, 202406, 202407, 202408, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510","2024-08, 2024-09, 2024-10, 2025-05, 2025-10"
550206,Mae Charim,Mae Charim District,Nan,North,flashflood,25,0,25,180,0.139,14,"202402, 202403, 202404, 202405, 202406, 202407, 202408, 202409, 202501, 202504, 202507, 202508, 202605, 202606","2024-07, 2024-08, 2024-09, 2025-06, 2025-08, 2025-09, 2026-07"
550502,Ngaeng,Pua District,Nan,North,flashflood,25,0,25,180,0.139,20,"202402, 202403, 202404, 202405, 202406, 202407, 202408, 202409, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202603, 202604, 202605, 202606","2024-06, 2024-08, 2024-09, 2025-06, 2025-08, 2026-08"
550510,Chedi Chai,Pua District,Nan,North,flashflood,25,0,25,180,0.139,21,"202402, 202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202501, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202603, 202604, 202605, 202606","2024-06, 2024-08, 2024-09, 2024-10, 2025-06, 2025-08, 2026-08"
550710,Pong Sanuk,Wiang Sa District,Nan,North,flashflood,25,0,25,180,0.139,16,"202402, 202403, 202404, 202405, 202406, 202407, 202408, 202502, 202503, 202504, 202507, 202508, 202603, 202604, 202605, 202606","2024-07, 2024-08, 2025-07, 2025-08, 2025-09, 2026-08"
551004,Ping Luang,Na Muen District,Nan,North,flashflood,25,0,25,180,0.139,20,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202412, 202501, 202502, 202503, 202504, 202505, 202506, 202512, 202601, 202602, 202603, 202604, 202605","2024-08, 2024-09, 2025-05, 2025-06, 2026-05"
551101,Du Phong,Santi Suk District,Nan,North,flashflood,25,0,25,180,0.139,17,"202402, 202403, 202404, 202405, 202406, 202407, 202408, 202409, 202410, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510","2024-07, 2024-08, 2024-09, 2024-10, 2025-08, 2025-10"
560307,Wiang,Chiang Kham District,Phayao,North,flashflood,25,0,25,180,0.139,19,"202402, 202403, 202404, 202405, 202406, 202407, 202408, 202409, 202501, 202503, 202504, 202505, 202506, 202507, 202508, 202603, 202604, 202605, 202606","2024-07, 2024-08, 2024-09, 2025-06, 2025-08, 2026-08"
560605,Pha Chang Noi,Pong District,Phayao,North,flashflood,25,0,25,180,0.139,18,"202402, 202403, 202404, 202405, 202406, 202407, 202408, 202502, 202503, 202504, 202505, 202506, 202507, 202508, 202603, 202604, 202605, 202606","2024-07, 2024-08, 2025-07, 2025-08, 2026-08"
570310,Rim Khong,Chiang Khong District,Chiangrai,North,flashflood,25,0,25,180,0.139,17,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202503, 202504, 202505, 202506, 202507, 202508, 202603, 202604, 202605, 202606","2024-08, 2024-09, 2025-08, 2025-09, 2026-07, 2026-08"
570502,Mae O,Phan District,Chiangrai,North,flashflood,25,0,25,180,0.139,17,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202501, 202502, 202503, 202504, 202508, 202601, 202602, 202603, 202604, 202605","2024-07, 2024-08, 2024-09, 2024-11, 2025-05, 2025-08, 2026-05"
570509,Muang Kham,Phan District,Chiangrai,North,flashflood,25,0,25,180,0.139,17,"202402, 202403, 202404, 202405, 202406, 202407, 202409, 202412, 202501, 202502, 202503, 202504, 202508, 202601, 202602, 202603, 202604","2024-07, 2024-08, 2024-09, 2025-05, 2025-08, 2026-05"
570513,Mueang Phan,Phan District,Chiangrai,North,flashflood,25,0,25,180,0.139,16,"202402, 202403, 202404, 202405, 202406, 202407, 202409, 202501, 202502, 202503, 202504, 202508, 202601, 202602, 202603, 202604","2024-07, 2024-08, 2024-09, 2025-05, 2025-08, 2026-05"
580201,Khun Yuam,Khun Yuam District,Mae Hong Son,North,flashflood,25,0,25,180,0.139,18,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202503, 202504, 202505, 202506, 202507, 202508, 202602, 202603, 202604, 202605, 202606","2024-08, 2024-09, 2025-08, 2026-07, 2026-08"
580202,Mae Ngao,Khun Yuam District,Mae Hong Son,North,flashflood,25,0,25,180,0.139,17,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202503, 202504, 202505, 202506, 202507, 202508, 202603, 202604, 202605, 202606","2024-08, 2024-09, 2025-08, 2026-07, 2026-08"
580204,Mae Yuam Noi,Khun Yuam District,Mae Hong Son,North,flashflood,25,0,25,180,0.139,18,"202403, 202404, 202405, 202406, 202407, 202408, 202409, 202501, 202503, 202504, 202505, 202506, 202507, 202508, 202603, 202604, 202605, 202606","2024-08, 2024-09, 2025-06, 2025-08, 2026-06, 2026-08"
580405,Mae Yuam,Mae Sariang District,Mae Hong Son,North,flashflood,25,0,25,180,0.139,16,"202403, 202404, 202405, 202406, 202407, 202408, 202503, 202504, 202505, 202506, 202507, 202508, 202603, 202604, 202605, 202606","2024-08, 2024-09, 2025-08, 2025-09, 2026-08"
640504,Mae Sin,Si Satchanalai District,Sukhothai,North,flashflood,25,0,25,180,0.139,17,"202404, 202405, 202406, 202407, 202408, 202409, 202503, 202504, 202505, 202506, 202507, 202508, 202509, 202510, 202604, 202605, 202606","2024-08, 2024-09, 2024-10, 2025-08, 2025-09, 2025-10, 2026-09"
800406,Kapiat,Chawang District,Nakhon Si Thammarat,southeast,flashflood,25,0,25,180,0.139,15,"202405, 202406, 202407, 202408, 202409, 202410, 202411, 202412, 202506, 202507, 202508, 202509, 202510, 202511, 202606","2024-10, 2024-11, 2024-12, 2025-11, 2026-11"
