GEOCODE,TAMBON_E,AMPHOE_E,PROV_E,REGION_E,N_YEARS_FLOODED,P_HIST,FC_PROP,P_EVENT,AFF_HH_MEAN,SEV_IDX,HAZARD_SCORE,HAZARD_GRADE,LAT,LONG
500303,Ban Thap,Mae Chaem District,Chiang Mai,North,5,0.883753501,0.119444444,0.657249049,4954,1,65.72490486,5,18.342,98.234
500305,Mae Na Chon,Mae Chaem District,Chiang Mai,North,5,0.883753501,0.119444444,0.657249049,5615,1,65.72490486,5,18.802,98.373
900106,Ko Yo,Mueang Songkhla District,Songkhla,southeast,3,0.632920885,0.083333333,0.656908901,38494,1,65.6908901,5,7.167,100.5295
961203,Phadung Mat,Chanae District,Narathiwat,southeast,4,0.834879406,0.15,0.914226186,530.5,0.433019844,65.50521334,5,6.132,101.728
500901,Wiang,Fang District,Chiang Mai,North,5,0.883753501,0.116666667,0.65477135,2894,1,65.47713496,5,19.944,99.214
640711,Pak Nam,Sawankhalok District,Sukhothai,North,5,0.93592786,0.183333333,0.857851883,780,0.525064198,65.4139597,5,17.233,99.925
901002,Prik,Sadao District,Songkhla,southeast,4,0.775778028,0.019444444,0.653007759,3203,1,65.30077591,5,6.694,100.473
801304,Khuan Koei,Ron Phibun District,Nakhon Si Thammarat,southeast,4,0.771645936,0.122222222,0.766331266,1398,0.702940702,65.25083524,5,8.14,99.9
900304,Sakom,Chanae District,Songkhla,southeast,4,0.775778028,0.066666667,0.694011906,2191,0.880007339,65.23737381,5,6.935,100.794
500302,Tha Pha,Mae Chaem District,Chiang Mai,North,5,0.883753501,0.113888889,0.652285215,4098.5,1,65.22852153,5,18.485,98.416
500205,Sop Tia,Chom Thong District,Chiang Mai,North,5,0.883753501,0.122222222,0.659718207,2674.5,0.972268927,65.05708599,5,18.352,98.668
910105,Chalung,Mueang Satun District,Satun,southwest,5,0.87755102,0.072222222,0.649875721,3977.5,1,64.98757214,5,6.725,100.035
960203,Phron,Tak Bai District,Narathiwat,southeast,4,0.834879406,0.105555556,0.899410141,546.5,0.439501325,64.73510448,5,6.202,102.014
500209,Mae Soi,Chom Thong District,Chiang Mai,North,5,0.883753501,0.108333333,0.647288073,4164,1,64.72880727,5,18.222,98.721
960609,Suwari,Rueso District,Narathiwat,southeast,4,0.834879406,0.094444444,0.895366425,553.5,0.442307107,64.56966795,5,6.458,101.611
500701,Rim Tai,Mae Rim District,Chiang Mai,North,5,0.883753501,0.111111111,0.649790753,2718,0.980143878,64.33395909,5,18.914,98.964
841002,Ton Yuan,Phanom District,Surat Thani,southeast,4,0.762112479,0.155555556,0.774083423,1228,0.658816229,64.20310721,5,8.776,98.9
961004,Puyo,Su-ngai Kolok District,Narathiwat,southeast,4,0.834879406,0.1,0.897405927,514,0.426232601,63.9954795,5,6.109,101.993
570103,Ban Du,Mueang Chiang Rai District,Chiangrai,North,4,0.744649079,0.086111111,0.639118077,4805,1,63.91180768,5,19.971,99.847
501804,Mon Chong,Omkoi District,Chiang Mai,North,5,0.883753501,0.097222222,0.637197408,3228,1,63.71974083,5,17.43,98.5
960603,Riang,Rueso District,Narathiwat,southeast,4,0.834879406,0.061111111,0.882364166,554.5,0.442706482,63.64962508,5,6.398,101.445
640301,Tanot,Khiri Mat District,Sukhothai,North,4,0.793070717,0.433333333,0.927605093,390,0.371276455,63.6001512,5,16.839,99.824
960602,Sawo,Rueso District,Narathiwat,southeast,4,0.834879406,0.116666667,0.903314457,469.5,0.407364241,63.56462326,5,6.434,101.507
141206,Hua Wiang,Sena District,Phra Nakhon Si Ayudhya,Central,4,0.760628845,0.305555556,0.810872773,901,0.564322675,63.42333328,5,14.376,100.402
860301,Bang Son,Pathio District,Chumphon,southeast,4,0.773210693,0.094444444,0.797899697,973,0.586437219,63.29088878,5,10.658,99.264
801401,Sichon,Sichon District,Nakhon Si Thammarat,southeast,5,0.914503079,0.15,0.822412729,801,0.532085426,63.00032782,5,9.008,99.902
961106,Kawa,Su-ngai Padi District,Narathiwat,southeast,5,0.977736549,0.155555556,0.932364832,345.5,0.349453288,62.9091394,5,6.02,101.889
941012,Khao Tum,Yarang District,Pattani,southeast,4,0.754924579,0.072222222,0.628154599,4032,1,62.81545992,5,6.603,101.314
502503,Chaem Luang,Galayani Vadhana District,Chiang Mai,North,5,0.883753501,0.105555556,0.644777284,2534.5,0.94647959,62.7522912,5,19.011,98.218
900310,Chanong,Chanae District,Songkhla,southeast,4,0.775778028,0.111111111,0.729999388,1459,0.718112938,62.71106962,5,7.006,100.67
501706,Pong Thung,Doi Tao District,Chiang Mai,North,5,0.883753501,0.086111111,0.626984422,12933,1,62.69844221,5,17.836,98.736
570708,Pa Tueng,Mae Chan District,Chiangrai,North,4,0.744649079,0.138888889,0.685713367,1942.5,0.828601316,62.69481832,5,20.134,99.77
950114,Phron,Mueang Yala District,Yala,southeast,5,0.935960591,0.069444444,0.812156809,831,0.541957982,62.61558373,5,6.563,101.229
950605,Kota Baru,Raman District,Yala,southeast,5,0.935960591,0.111111111,0.836002809,697,0.496342535,62.54732812,5,6.452,101.345
960303,Kayo Mati,Bacho District,Narathiwat,southeast,5,0.977736549,0.058333333,0.903723889,415,0.382991516,62.49212354,5,6.545,101.625
640411,Ban Mai Suk Kasem,Kong Krailat District,Sukhothai,North,4,0.793070717,0.3,0.883236297,477.5,0.410820203,62.3043806,5,16.954,100.078
801404,Sao Phao,Sichon District,Nakhon Si Thammarat,southeast,5,0.914503079,0.133333333,0.812585975,801,0.532085426,62.24755644,5,8.89,99.904
941010,Mo Mawi,Yarang District,Pattani,southeast,3,0.612067436,0.133333333,0.629620966,2700,0.976892977,62.23466333,5,6.67,101.303
560401,Chiang Muan,Chiang Muan District,Phayao,North,4,0.756902761,0.130555556,0.671946982,2050,0.851220425,62.19609885,5,18.888,100.334
910201,Khuan Don,Khuan Don District,Satun,southwest,5,0.87755102,0.061111111,0.639817893,2522,0.944142715,62.19486477,5,6.814,100.06
501802,Yang Piang,Omkoi District,Chiang Mai,North,5,0.883753501,0.080555556,0.621834475,5102,1,62.18344752,5,17.682,98.392
961101,Paluru,Su-ngai Padi District,Narathiwat,southeast,5,0.977736549,0.155555556,0.932364832,309,0.330479363,62.02460838,5,6.073,101.905
640708,Khlong Yang,Sawankhalok District,Sukhothai,North,5,0.93592786,0.177777778,0.855152988,562,0.445690383,61.81432256,5,17.414,99.915
