GEOCODE,TAMBON_E,AMPHOE_E,PROV_E,REGION_E,N_YEARS_FLOODED,P_HIST,FC_PROP,P_EVENT,AFF_HH_MEAN,SEV_IDX,HAZARD_SCORE,HAZARD_GRADE,LAT,LONG
100508,Tha Raeng,Bang Khen District,Bangkok,Central,1.0,0.18107142857142858,0.027777777777777776,0.05063210260300818,54.0,0.1381535296709038,2.8813553146136557,1,13.866,100.65
100601,Khlong Chan,Bang Kapi District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.786,100.635
100608,Hua Mak,Bang Kapi District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,1.0,0.018800314103231682,2.323234386120528,1,13.756,100.66
100701,Rong Mueang,Pathum Wan District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.744,100.52
100702,Wang Mai,Pathum Wan District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.742,100.526
100703,Pathum Wan,Pathum Wan District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.74,100.535
100704,Lumphini,Pathum Wan District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.736,100.546
100801,Pom Prap,Pom Prap Sattru Phai District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.743,100.514
100802,Wat Thepsirin,Pom Prap Sattru Phai District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.749,100.512
100803,Khlong Mahanak,Pom Prap Sattru Phai District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.753,100.513
100804,Ban Bat,Pom Prap Sattru Phai District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.752,100.507
100805,Wat Sommanat,Pom Prap Sattru Phai District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.759,100.511
100905,Bang Chak,Phra Khanong District,Bangkok,Central,2.0,0.32392857142857145,0.022222222222222223,0.061925468507063756,54.0,0.1381535296709038,3.5240345278919505,1,13.692,100.626
101001,Min Buri,Min Buri District,Bangkok,Central,1.0,0.18107142857142858,0.005555555555555556,0.04657269081689429,54.0,0.1381535296709038,2.650343621975996,1,13.804,100.723
101002,Saen Saep,Min Buri District,Bangkok,Central,2.0,0.32392857142857145,0.044444444444444446,0.06722871367724888,54.0,0.1381535296709038,3.8258298883497686,1,13.812,100.774
101101,Lat Krabang,Lat Krabang District,Bangkok,Central,1.0,0.18107142857142858,0.016666666666666666,0.048562160685566756,54.0,0.1381535296709038,2.76355972963617,1,13.723,100.771
101102,Khlong Song Ton Nun,Lat Krabang District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.753,100.723
101103,Khlong Sam Prawet,Lat Krabang District,Bangkok,Central,1.0,0.18107142857142858,0.044444444444444446,0.05389418283215834,54.0,0.1381535296709038,3.066992720957502,1,13.753,100.754
101104,Lam Pla Thio,Lat Krabang District,Bangkok,Central,1.0,0.18107142857142858,0.06111111111111111,0.05735373278663476,54.0,0.1381535296709038,3.2638676705455096,1,13.765,100.817
101105,Thap Yao,Lat Krabang District,Bangkok,Central,1.0,0.18107142857142858,0.05,0.05502492406150075,54.0,0.1381535296709038,3.1313405770235265,1,13.728,100.815
101106,Khum Thong,Lat Krabang District,Bangkok,Central,1.0,0.18107142857142858,0.05,0.05502492406150075,54.0,0.1381535296709038,3.1313405770235265,1,13.736,100.855
101203,Chong Nonsi,Yan Nawa District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.682,100.533
101204,Bang Phongphang,Yan Nawa District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.697,100.544
101301,Chakkrawat,Samphanthawong District,Bangkok,Central,1.0,0.18107142857142858,0.03333333333333333,0.051698142715291606,54.0,0.1381535296709038,2.942021180441963,1,13.741,100.504
101302,Samphanthawong,Samphanthawong District,Bangkok,Central,1.0,0.18107142857142858,0.03333333333333333,0.051698142715291606,54.0,0.1381535296709038,2.942021180441963,1,13.739,100.511
101303,Talat Noi,Samphanthawong District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.734,100.513
101401,Sam Sen Nai,Phaya Thai District,Bangkok,Central,2.0,0.32392857142857145,0.03888888888888889,0.06586466878601506,1.0,0.018800314103231682,3.3551472623748726,1,13.782,100.545
101501,Wat Kanlaya,Thon Buri District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.737,100.493
101502,Hiranruchi,Thon Buri District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.731,100.49
101503,Bang Yi Ruea,Thon Buri District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.72,100.482
101504,Bukkhalo,Thon Buri District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.707,100.486
101505,Talat Phlu,Thon Buri District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.715,100.473
101506,Dao Khanong,Thon Buri District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,,
101507,Samre,Thon Buri District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,,
101601,Wat Arun,Bangkok Yai District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.743,100.486
101602,Wat Tha Phra,Bangkok Yai District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.733,100.475
101701,Huai Khwang,Huai Khwang District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.769,100.577
101702,Bang Kapi,Huai Khwang District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.752,100.586
101704,Sam Sen Nok,Huai Khwang District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,1.0,0.018800314103231682,2.323234386120528,1,13.796,100.579
101801,Somdet Chaophraya,Khlong San District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.731,100.497
101802,Khlong San,Khlong San District,Bangkok,Central,0.0,0.03821428571428571,0.03333333333333333,0.04130761888152131,0.0,0.0,2.0653809440760655,1,13.735,100.504
101803,Bang Lamphu Lang,Khlong San District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.715,100.501
101804,Khlong Ton Sai,Khlong San District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.725,100.508
101901,Khlong Chak Phra,Taling Chan District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.76,100.456
101902,Taling Chan,Taling Chan District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.789,100.459
101903,Chimphli,Taling Chan District,Bangkok,Central,1.0,0.18107142857142858,0.03888888888888889,0.052785379947366255,54.0,0.1381535296709038,3.0038933251057323,1,13.786,100.432
101904,Bang Phrom,Taling Chan District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.752,100.442
101905,Bang Ramat,Taling Chan District,Bangkok,Central,2.0,0.32392857142857145,0.0,0.05701499188856898,54.0,0.1381535296709038,3.244590713106637,1,13.767,100.431
101907,Bang Chueak Nang,Taling Chan District,Bangkok,Central,1.0,0.18107142857142858,0.03888888888888889,0.052785379947366255,54.0,0.1381535296709038,3.0038933251057323,1,13.751,100.419
102004,Sirirat,Bangkok Noi District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.759,100.481
102005,Ban Chang Lo,Bangkok Noi District,Bangkok,Central,1.0,0.18107142857142858,0.07777777777777778,0.06102103343471188,54.0,0.1381535296709038,3.4725652293941778,1,13.752,100.477
102006,Bang Khun Non,Bangkok Noi District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.774,100.466
102007,Bang Khun Si,Bangkok Noi District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.76,100.463
102009,Arun Ammarin,Bangkok Noi District,Bangkok,Central,0.0,0.03821428571428571,0.03333333333333333,0.04130761888152131,0.0,0.0,2.0653809440760655,1,13.772,100.477
102105,Tha Kham,Bang Khun Thian District,Bangkok,Central,1.0,0.18107142857142858,0.005555555555555556,0.04657269081689429,54.0,0.1381535296709038,2.650343621975996,1,13.555,100.434
102107,Samae Dam,Bang Khun Thian District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.605,100.395
102201,Bang Wa,Phasi Charoen District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.714,100.443
102202,Bang Duan,Phasi Charoen District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.723,100.437
102206,Bang Chak,Phasi Charoen District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.727,100.45
102207,Bang Waek,Phasi Charoen District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.736,100.445
102208,Khlong Khwang,Phasi Charoen District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.738,100.423
102209,Pak Khlong Phasi Charoen,Phasi Charoen District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.722,100.464
102210,Khuha Sawan,Phasi Charoen District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.727,100.457
102302,Nong Khaem,Nong Khaem District,Bangkok,Central,2.0,0.32392857142857145,0.05,0.06861893258166171,54.0,0.1381535296709038,3.904944016003403,1,13.68,100.358
102303,Nong Khang Phlu,Nong Khaem District,Bangkok,Central,1.0,0.18107142857142858,0.05,0.05502492406150075,54.0,0.1381535296709038,3.1313405770235265,1,13.714,100.351
102401,Rat Burana,Rat Burana District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.67,100.51
102402,Bang Pakok,Rat Burana District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.675,100.491
102501,Bang Phlat,Bang Phlat District,Bangkok,Central,0.0,0.03821428571428571,0.03333333333333333,0.04130761888152131,0.0,0.0,2.0653809440760655,1,13.791,100.487
102502,Bang O,Bang Phlat District,Bangkok,Central,0.0,0.03821428571428571,0.03333333333333333,0.04130761888152131,0.0,0.0,2.0653809440760655,1,13.802,100.512
